Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone12	03/08/2015	9	46.620893	-63.169928	0	0	0	0	1969	Zone12-03/08/2015-9	43.8912	0.4	AG14	AG14	1	JM	P	133	bin6385.117	GP133F	C8049GP133F.010	H0615GP133F.064	24	31	47	78
2015	Zone12	03/08/2015	8	46.605567	-62.963257	0	0	0	0	2068	Zone12-03/08/2015-8	45.72	0.2	AG16	AG15	1	JM	P	154	bin6385.116	GP154F	C8049GP154F.009	H0615GP154F.063	25	1	8	9
2015	Zone12	03/08/2015	7	46.60301	-62.84609	3	1.906872861	0	0	2622	Zone12-03/08/2015-7	53.0352	-0.2	AG16	AG16	3	JM	A1	162	bin6385.115	GP162A1	C8049GP162A1.008	H0615GP162A1.062	29	0	4	4
2015	Zone12	01/08/2015	12	46.609697	-62.6301	0	0	0	0	2182	Zone12-01/08/2015-12	47.5488	0.6	AG17	AG17	1	JM	P	189	bin6385.095	GP189F	C8000GP189F.003	H0615GP189F.042	26	0	0	0
2015	Zone12	01/08/2015	11	46.611487	-62.53516	2	0.98826366	0	0	2375	Zone12-01/08/2015-11	49.3776	-0.1	AG18	AG18	3	JM	A1	192	bin6385.094	GP192A1	C8000GP192A1.002	H0615GP192A1.041	27	0	5	5
2015	Zone12	01/08/2015	9	46.63719	-62.376648	4	2.039827375	1	0.395352558	2668	Zone12-01/08/2015-9	58.5216	-0.2	AG19	AG19	1	JM	P	214	bin6385.092	GP214F	C7812GP214F.036	H0615GP214F.039	32	32	59	91
2015	Zone12	01/08/2015	6	46.585568	-62.24166	0	0	0	0	2242	Zone12-01/08/2015-6	49.3776	0.4	AG20	AG20	3	JM	A1	234	bin6385.089	GP234A1	C7812GP234A1.033	H0615GP234A1.036	27	0	0	0
2015	Zone12	01/08/2015	4	46.594968	-62.08703	0	0	0	0	2839	Zone12-01/08/2015-4	51.2064	0.7	AG21	AG21	1	JM	P	240	bin6385.087	GP240F	C7812GP240F.030	H0615GP240F.034	28	1	0	1
2015	Zone12	12/10/2015	4	46.595292	-61.821665	0	0	0	0	2321	Zone12-12/10/2015-4	54.864	4.1	AG22	AG22	1	JM	P	265	bin6387.164	GP265F	C8054GP265F.087	H0616GP265F.061	30	0	2	2
2015	Zone12	12/10/2015	6	46.63322	-61.706165	4	1.954770941	4	1.954770941	2958	Zone12-12/10/2015-6	62.1792	2.1	AG23	AG23	3	JM	A1	274	bin6387.166	GP274A1	C8054GP274A1.089	H0616GP274A1.063	34	34	62	96
